,Key,Value
0,Billable Expense Income,1080.0
2,6010 Advertising & Marketing,-7446.0
4,6100 Auto Expense,-140.0
6,6200 Bank Charges & Fees,-5434.97
8,6201 Payment Collection Fees,5.8
10,6700 Interest Expense,-1498.0
12,6751 Accounting Services,0.0
14,6752 Legal Services,-174.0
16,6754 Payroll Processing,171.0
18,6900 Meals & Entertainment,64.57
20,6950 Office Supplies,31.01
22,6951 Office Software,74.38
24,6952 Telecommunications,-204.0
26,7150 Shipping & Postage,-155.0
28,7200 Rent & Lease-Building Space,-32500.0
30,7300 Payroll-Wages,-9375.0
32,7301 Payroll-Taxes,2428.91
34,7305 Guaranteed Payments,0.0
36,7600 Travel,1065.0
38,6350 Depreciation-Machinery & Equipment,-1108.94
40,6361 Depreciation-Office Equipment,-40.0
42,8000 Other Expense,-11772.0
