,Key,Value
0,Billable Expense Income,550.0
2,6100 Auto Expense,77.57
4,6200 Bank Charges & Fees,192.56
6,6700 Interest Expense,18.08
8,6751 Accounting Services,1175.0
10,6752 Legal Services,18648.5
12,6754 Payroll Processing,171.0
14,6800 Taxes & Licenses,500.0
16,6900 Meals & Entertainment,719.61
18,6950 Office Supplies,205.23
20,6951 Office Software,1661.7
22,6952 Telecommunications,40.75
24,7300 Payroll-Wages,6250.0
26,7301 Payroll-Taxes,186.64
28,7302 Payroll-Benefits,8400.34
30,7600 Travel,191.35
32,6361 Depreciation-Office Equipment,40.0
