,Key,Value
0,6010 Advertising & Marketing,838.09
2,6011 Operating Supplies,12655.14
4,6012 Packaging Supplies,4891.53
6,6100 Auto Expense,33.1
8,6200 Bank Charges & Fees,729.55
10,6700 Interest Expense,22.03
12,6752 Legal Services,4000.0
14,6753 Consultants,21206.67
16,6754 Payroll Processing,263.0
18,6780 Recruiting,287.02
20,6800 Taxes & Licenses,293.37
22,6900 Meals & Entertainment,1010.77
24,6950 Office Supplies,5005.63
26,6951 Office Software,4526.58
28,6990 Other Business Expenses,100.0
30,7150 Shipping & Postage,9.9
32,7200 Rent & Lease-Building Space,7500.0
34,7201 Leased Equipment,711.04
36,7300 Payroll-Wages,18076.93
38,7301 Payroll-Taxes,3674.81
40,7302 Payroll-Benefits,7850.55
42,7340 Research & Development,2141.86
44,7500 Utilities,1476.14
